county,number_of_vehicles,data_year
Alameda,1135598,2025
Alpine,1325,2025
Amador,42002,2025
Butte,154534,2025
Calaveras,53611,2025
Colusa,19738,2025
Contra Costa,890591,2025
Del Norte,19614,2025
El Dorado,170486,2025
Fresno,709728,2025
Glenn,24864,2025
Humboldt,106774,2025
Imperial,170988,2025
Inyo,19674,2025
Kern,614632,2025
Kings,98401,2025
Lake,64766,2025
Lassen,22485,2025
Los Angeles,6889383,2025
Madera,119961,2025
Marin,209186,2025
Mariposa,18704,2025
Mendocino,81952,2025
Merced,206618,2025
Modoc,8098,2025
Mono,12211,2025
Monterey,338128,2025
Napa,114359,2025
Nevada,90357,2025
Orange,2469737,2025
Out Of State,403234,2025
Placer,359512,2025
Plumas,20304,2025
Riverside,1881685,2025
Sacramento,1170931,2025
San Benito,58669,2025
San Bernardino,1635220,2025
San Diego,2574501,2025
San Francisco,412097,2025
San Joaquin,587311,2025
San Luis Obispo,234853,2025
San Mateo,612769,2025
Santa Barbara,339810,2025
Santa Clara,1459984,2025
Santa Cruz,209379,2025
Shasta,143054,2025
Sierra,3682,2025
Siskiyou,41772,2025
Solano,350472,2025
Sonoma,420157,2025
Stanislaus,413941,2025
Sutter,75517,2025
Tehama,48250,2025
Trinity,11746,2025
Tulare,340988,2025
Tuolumne,55218,2025
Ventura,690265,2025
Yolo,162268,2025
Yuba,61165,2025
__STATEWIDE_SUM__,29657259,2025
