season,day_type,hour,time_interval,share,raw_mw
Winter,Weekday,0,12AM - 1AM,0.08801690064601385,1415.216
Winter,Weekday,1,1AM - 2AM,0.07043355918609419,1132.4950000000001
Winter,Weekday,2,2AM - 3AM,0.045533677900594274,732.1320000000001
Winter,Weekday,3,3AM - 4AM,0.02685579720816931,431.812
Winter,Weekday,4,4AM - 5AM,0.015371500260714157,247.15699999999998
Winter,Weekday,5,5AM - 6AM,0.011622801343772514,186.882
Winter,Weekday,6,6AM - 7AM,0.017595966692273705,282.924
Winter,Weekday,7,7AM - 8AM,0.031779140280138354,510.974
Winter,Weekday,8,8AM - 9AM,0.046117486058758206,741.519
Winter,Weekday,9,9AM - 10AM,0.05183640534881962,833.473
Winter,Weekday,10,10AM - 11AM,0.04947275039505161,795.4680000000001
Winter,Weekday,11,11AM - 12PM,0.04464406546910637,717.828
Winter,Weekday,12,12PM - 1PM,0.04193934266199106,674.3389999999999
Winter,Weekday,13,1PM - 2PM,0.03995145940222821,642.376
Winter,Weekday,14,2PM - 3PM,0.03778688508277177,607.572
Winter,Weekday,15,3PM - 4PM,0.03476541198807481,558.99
Winter,Weekday,16,4PM - 5PM,0.02711974541561021,436.056
Winter,Weekday,17,5PM - 6PM,0.02651796340448906,426.38
Winter,Weekday,18,6PM - 7PM,0.030720797526598814,493.957
Winter,Weekday,19,7PM - 8PM,0.03263921091178309,524.803
Winter,Weekday,20,8PM - 9PM,0.0350802342845088,564.052
Winter,Weekday,21,9PM - 10PM,0.04895455612917093,787.136
Winter,Weekday,22,10PM - 11PM,0.060496070878427594,972.711
Winter,Weekday,23,11PM - 12AM,0.08474827152483949,1362.66
Winter,Weekend,0,12AM - 1AM,0.11166481157151448,1252.528
Winter,Weekend,1,1AM - 2AM,0.10237076257114851,1148.278
Winter,Weekend,2,2AM - 3AM,0.07536622342002282,845.372
Winter,Weekend,3,3AM - 4AM,0.049093885942182544,550.679
Winter,Weekend,4,4AM - 5AM,0.03115231497598926,349.431
Winter,Weekend,5,5AM - 6AM,0.019149128699622132,214.793
Winter,Weekend,6,6AM - 7AM,0.012698568359847746,142.438
Winter,Weekend,7,7AM - 8AM,0.012261369162746599,137.534
Winter,Weekend,8,8AM - 9AM,0.016351820541497596,183.416
Winter,Weekend,9,9AM - 10AM,0.022299833598633488,250.13400000000001
Winter,Weekend,10,10AM - 11AM,0.02779575914995781,311.781
Winter,Weekend,11,11AM - 12PM,0.033724961230220056,378.28799999999995
Winter,Weekend,12,12PM - 1PM,0.039351493801069906,441.4
Winter,Weekend,13,1PM - 2PM,0.04142596119857126,464.66900000000004
Winter,Weekend,14,2PM - 3PM,0.04168262850861494,467.54800000000006
Winter,Weekend,15,3PM - 4PM,0.04089586608724104,458.723
Winter,Weekend,16,4PM - 5PM,0.030859987046279905,346.152
Winter,Weekend,17,5PM - 6PM,0.026219203154538413,294.097
Winter,Weekend,18,6PM - 7PM,0.026341608231540834,295.46999999999997
Winter,Weekend,19,7PM - 8PM,0.027545332448355622,308.972
Winter,Weekend,20,8PM - 9PM,0.03565946069553364,399.987
Winter,Weekend,21,9PM - 10PM,0.048850145606767675,547.945
Winter,Weekend,22,10PM - 11PM,0.059396595569792064,666.2429999999999
